Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
56648660,Cursed Bunny,Bora Chung,"Chung, Bora",Anton Hur,"=""1916277187""","=""9781916277182""",0,4.01,Honford Star,Paperback,251,2021,2017,,2022/05/03,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
41086877,Normal People,Sally Rooney,"Rooney, Sally",,"=""0571334652""","=""9780571334650""",3,3.84,Faber & Faber,Paperback,266,2019,2018,2022/05/02,2022/05/02,,,read,"Alltid svårt att betygsätta dessa bladvändande böcker. Den är ”ett litet liv”-light och var fin. Men samtidigt oroväckande.<br/><br/>Spontan tanke är att dessa författare alltid väljer att skriva om karaktärer som hänvisar till finlitteratur, så att man liksom får det bekräftat (utöver prosan) att jajamänsan, hon har läst Proust!<br/><br/>Overall känns boken lite väl tillrättalagd för att vara nå en viss vibe, som känns väldigt ohälsosam. Inte för att det nödvändigtvis romantiseras, men man får lite dålig eftersmak av att man ska må piss, läsa/skriva, vara obrydd och ha normbrytande sexpreferenser.<br/><br/>Samtidigt, åter tänker jag på uppfattningen om att trauma gör en intressant, en tanke som jag vill ta avstånd från. Det är en längtan bort från svenssonliv, lite av ett kulturellt/emotionellt klasshat. Contentbubblorna får individer att hata på melodifestivalen när det i själva verket bara är ett tv-program som alla andra.<br/><br/>Med det sagt, bra bok",,,1,,,0,,,,,
53061,Death in Venice,Thomas Mann,"Mann, Thomas","Michael Cunningham, Michael Henry Heim","=""0060576170""","=""9780060576172""",4,3.72,Ecco,Paperback,142,2005,1912,2022/05/01,2018/11/03,,,read,"Världens vackraste pojke på svt var en bra påminnelse om att läsa om denna bok!<br/><br/>Bra dokumentär, bra bok.",,,1,,,0,,,,,
7940383,Vi i villa,Hans Koppel,"Koppel, Hans",,"=""9146218726""","=""9789146218722""",3,3.29,Wahlström & Widstrand,Hardcover,178,2008,2008,,2018/11/03,,,read,"Vill minnas att jag tyckte den var bra. Det var något hur innebandygönget beskrevs som jag gillade, typ: <br/><br/>”Vi sitter vid ett runt bord, men ändå sitter Peter på kortändan”<br/><br/>Säkert väldigt felciterat, men taget från minne tre år senare nu när det finns en tv serie.",,,1,,,0,,,,,
17203344,Självporträtt,Édouard Levé,"Levé, Édouard",Kristoffer Leandoer,"=""""","=""9789186617066""",4,4.26,Pequod Press,Paperback,109,2011,2005,2022/01/23,2022/01/23,,,read,En ny bekantskap,,,1,,,0,,,,,
58479977,Korthuset : En domares berättelse om kickarna och spelet bakom världsfotbollen,Jonas  Eriksson,"Eriksson, Jonas",Anders Cedhamre,"=""""","=""9789137158402""",3,3.47,Bokförlaget Forum,Hardcover,300,2021,,2021/11/25,2021/11/25,,,read,"Jag läser boken bra, jag är i toppform, ögonen är piggare än någonsin och koffeinprocenten i mitt blod är över det som min bibliotikarie förväntar sig, 12%. Jag gör inte ett enda misstag under de två dagarna boken konsumeras. Flickvännen tas åt sidan, ”jag måste göra dethär”, hon förstår att jag inte kan medverka på hennes födelsedag, hennes present är att se mig läsa en bok. Hon vet att jag har vad som krävs och att jag kommer göra det bra. Vi tar och käkar middag, tar några medsmugglade sponsrade öl, men mer tänker jag inte på henne, jag tänker redan på nästa biografi, nästa roman, nästa äventyr.<br/><br/>I min kalender har jag skrivit upp alla bokmässor runtom i sverige och jag vet att det enda som hindrar mig från toppen är den byråkratiska processen med adlibris som inte backar, inte gör några undantag, som helt enkelt vägrar att tillåta mig att läsa böcker i förväg. Jag vet att jag klarar det, mitt minne är utomordentligt bra, jag minns varenda sida, varenda mening i varje bok jag någonsin läst. Det är viktigt för mig att kunna skapa en bekväm stämning för min bokhylla och jag är ytterst ansvarig.",,,1,,,0,,,,,
32320112,Platon - Skrifter. Bok 1,Plato,"Plato, Plato",,"=""""","=""9789173538695""",4,4.04,Atlantis Bokförlag AB,Paperback,448,2016,1920,,2018/11/08,,,read,,,,1,,,0,,,,,
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Nina Guerra, Martha, Filipe Guerra","=""0143058142""","=""9780143058144""",5,4.24,Penguin,Paperback,671,2002,1866,2022/01/01,2018/11/03,favorites,favorites (#3),read,"Utgår man från vad sokrates säger i platons text gorgias är raskolnikov som mest eländig och olycklig, men på rätt väg<br/><br/>”[…] den som gör orätt och är orättfärdig är visserligen alltid eländig, men eländigare om han inte sonar sitt brott och lider straff, och mindre eländig om han sonar sitt straff från gudar och människor.”<br/><br/>Trots att nikolaj tycks kommit till undsättning och felaktigt hävdat att han begått mordet, kan raskolnikov inte uppleva lycka förens han dels bekänt, börjat sona för sitt straff fysiskt i sibirien och underkastar sig för sin kärlek till sonja och förmodligen även bibeln. <br/><br/>Alltså kan raskolnikov likställas med platons exempel där han ”står på torget med en dolk gömd i kläderna” då han felaktigt ansett sig ha ”stor makt”, kärnan här är då att trots vanföreställningen om det goda och om rätten att begå orätt oundvikligen leder till en eländig människa. <br/><br/>Trots polos jakande svar på sokrates fråga om ”en man som gör orätt inte straffas blir han alltså lycklig enligt din uppfattning” så vederläggs han av både sokrates och dostojevskijs brott och straff.<br/><br/>Orätten i sig är straffet och man bör alltid försöka vara rättfärdig",true,,1,,,0,,,,,
57809224,Barnen på Hidden Valley Road,Robert Kolker,"Kolker, Robert",Eva Johansson,"=""""","=""9789100187200""",4,4.15,Albert Bonniers Förlag,Hardcover,350,2021,2020,,2021/12/28,,,read,Julklapp som filippa fick av sin mor. Men då jag läste brott och straff på nytt tänkte jag att jag kunde varva med denna bok om schizofreni. Det blev lite mer än så och boken grep tag i mig rätt rejält. <br/><br/>Jag gillade sättet boken varvade karaktärperspektiv och vad forskningen sa under den tid de behandlades. Kändes sällan långsam. Ibland lite väl förutsägbar med färdiga slutklämmar man kunde se från start av stycket.,,,1,,,0,,,,,
52320566,Där kräftorna sjunger,Delia Owens,"Owens, Delia",Cecilia Berglund Barklem,"=""""","=""9789137154831""",2,4.46,Bokförlaget Forum,Hardcover,369,2020,2018,,2021/12/10,,,read,Lite småstapplande med dialog och lite väl förutsägbar och i stunder irriterande. Men en bladvändare som funkade som sömntablett.,,,1,,,0,,,,,
